_id,pin,address,start_year,approved_date,program_name,num_years,abatement_amount,neighborhood,council_district,ward,dpw_streets,dpw_enviro,dpw_parks,police_zone,fire_zone,longitude,latitude
13090,0120N00015004300,5531 BERLIN WAY,2022,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94980988881026,40.4842662534735
13091,0120N00015004400,5533 BERLIN WAY,2021,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94983853602977,40.48431387606108
13092,0120N00015004500,5535 BERLIN WAY,2021,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94987712752261,40.48435664570766
13093,0120N00015004600,5545 BERLIN WAY,2022,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94953255620761,40.484268636574555
13094,0120N00015004700,5547 BERLIN WAY,2022,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94955939629912,40.48431669271293
13095,0120N00015004800,5549 BERLIN WAY,2022,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94960022971668,40.4843600992565
13096,0120N00015004900,5551 BERLIN WAY,2022,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94962873073057,40.484408138530284
13097,0120N00015005000,5553 BERLIN WAY,2022,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94966614654238,40.48445078968674
13098,0120N00015005100,5557 BERLIN WAY,2022,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.9493268291646,40.4844159039382
13099,0120N00015005200,5559 BERLIN WAY,2022,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94936816577193,40.484462924833174
13100,0120N00015005300,5561 BERLIN WAY,2022,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94939617738515,40.48450995922247
13101,0120N00015005400,5563 BERLIN WAY,2022,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94943368496894,40.484553090555
13102,0120N00015005500,5571 BERLIN WAY,2022,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94911484417099,40.484510047003944
13103,0120N00015005600,5573 BERLIN WAY,2022,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94915416169076,40.484556741123924
13104,0120N00015005700,5575 BERLIN WAY,2022,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94918311335111,40.484604661905244
13105,0120N00015005800,5577 BERLIN WAY,2022,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94922053058775,40.484648057048496
13106,0120N00015005900,5581 BERLIN WAY,2022,2017-11-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Lawrenceville,7,10,2,Central,Highland,2,3-5,-79.94885603317213,40.48456912976838
