_id,pin,address,start_year,approved_date,program_name,num_years,abatement_amount,neighborhood,council_district,ward,dpw_streets,dpw_enviro,dpw_parks,police_zone,fire_zone,longitude,latitude
13264,0026M00070000000,460 MELWOOD AVE,,2016-09-07,COMMERCIAL LERTA,5,50000,North Oakland,6,5,3,Central,Schenley,4,2-23,-79.95254624097659,40.455830586988604
13265,0243C00072000000,6103 MIFFLIN RD,,2016-09-07,ACT42 RESIDENTIAL,3,86750,Lincoln Place,5,31,3,Eastern,Frick,4,4-20,-79.90605666933443,40.363093581506874
13266,0124J00001000000,6144 CARVER ST,2016,2016-09-29,VISITABILITY RESIDENTIAL,5,2500,Larimer,9,12,2,Eastern,Highland,5,3-10,-79.91592299432428,40.46505424949886
13267,0124J00003000000,6107 CARVER ST,2016,2016-09-29,VISITABILITY RESIDENTIAL,5,2500,Larimer,9,12,2,Eastern,Highland,5,3-10,-79.91604979780789,40.46576541606197
13268,0124J00005000000,6113 CARVER ST,2016,2016-09-29,VISITABILITY RESIDENTIAL,5,2500,Larimer,9,12,2,Eastern,Highland,5,3-10,-79.91593802342359,40.465665432273354
13269,0124J00007000000,6141 CARVER ST,2016,2016-09-29,VISITABILITY RESIDENTIAL,5,2500,Larimer,9,12,2,Eastern,Highland,5,3-10,-79.91562165861005,40.46537919128776
13270,0124J00009000000,6102 MEADOW ST,2016,2016-09-29,VISITABILITY RESIDENTIAL,5,2500,Larimer,9,12,2,Eastern,Highland,5,3-12,-79.91564232328972,40.46591222504391
13271,0124J00011000000,6112 MEADOW ST,2016,2016-09-29,VISITABILITY RESIDENTIAL,5,2500,Larimer,9,12,2,Eastern,Highland,5,3-12,-79.91548502100557,40.46578611144638
13272,0124J00013000000,6128 MEADOW ST,2016,2016-09-29,VISITABILITY RESIDENTIAL,5,2500,Larimer,9,12,2,Eastern,Highland,5,3-12,-79.91526357444884,40.465611262155214
13273,0124J00015000000,6138 MEADOW ST,2016,2016-09-29,VISITABILITY RESIDENTIAL,5,2500,Larimer,9,12,2,Eastern,Highland,5,3-12,-79.9151496903606,40.46548134925422
13274,0124J00017000000,413 LARIMER AVE,2016,2016-09-29,VISITABILITY RESIDENTIAL,5,2500,Larimer,9,12,2,Eastern,Highland,5,3-10,-79.91515103570077,40.465144023181075
13275,0124J00021000000,435 LARIMER AVE,2016,2016-09-29,VISITABILITY RESIDENTIAL,5,2500,Larimer,9,12,2,Eastern,Highland,5,3-12,-79.91485993646707,40.46533196233418
13276,0124J00023000000,424 LARIMER AVE,2016,2016-09-29,VISITABILITY RESIDENTIAL,5,2500,Larimer,9,12,2,Eastern,Highland,5,3-12,-79.91459025112754,40.46497750240756
13277,0124J00230000000,525 LARIMER AVE,2016,2016-09-29,VISITABILITY RESIDENTIAL,5,2500,Larimer,9,12,2,Eastern,Highland,5,3-12,-79.91363361797328,40.46585541698573
13278,0124N00401000000,6226 MEADOW ST,2016,2016-09-29,VISITABILITY RESIDENTIAL,5,2500,Larimer,9,12,2,Eastern,Highland,5,3-12,-79.91427976936731,40.4647429106189
13279,0124N00403000000,6229 CARVER ST,2016,2016-09-29,VISITABILITY RESIDENTIAL,5,2500,Larimer,9,12,2,Eastern,Highland,5,3-10,-79.91464111424627,40.464560418681216
13280,0124N00405000000,6271 CARVER ST,2016,2016-09-29,VISITABILITY RESIDENTIAL,5,2500,Larimer,9,12,2,Eastern,Highland,5,3-10,-79.91412597887724,40.46409868319884
13281,0124N00407000000,6277 CARVER ST,2016,2016-09-29,VISITABILITY RESIDENTIAL,5,2500,Larimer,9,12,2,Eastern,Highland,5,3-10,-79.9140368225471,40.46402001910095
