_id,id,facility_name,num,street,city,state,zip,municipal,category_cd,description,p_code,fdo,bus_st_date,bus_cl_date,seat_count,noroom,sq_feet,status,placard_st,x,y,address
17877,2.01E+11,Vincent's Pizza Park,998,Ardmore Boulevard,Pittsburgh,PA,15221,East Hills,201,Restaurant with Liquor,1,5/28/2013,5/28/2013,,95,,,1,1,-79.84472872,40.4105365,998 Ardmore Boulevard PA 15221
24020,2.01E+11,Anthony's Coal Fired Pizza,1810,Settlers Ridge Center Drive,Pittsburgh,PA,15205,East Liberty,202,Chain Restaurant with Liquor,1,11/5/2011,11/5/2011,,58,,,1,1,-80.14648603,40.43808243,1810 Settlers Ridge Center Drive PA 15205
25206,2.02E+11,Domino's Pizza #4713 ,6518,Steubenville  Pike,Pittsburgh,PA,15205,East Liberty,212,Chain Restaurant without Liquor,1,10/31/2019,10/31/2019,,0,,,1,1,-80.16045627,40.4491981,6518 Steubenville  Pike PA 15205
28290,2.02E+11,Mineoâ€™s Pizza,2350,Noblestown Road,Pittsburgh,PA,15205,East Liberty,211,Restaurant without Liquor,1,1/22/2021,1/22/2021,,,,,1,1,-80.05574988,40.42746342,2350 Noblestown Road PA 15205
21989,2.02E+11,Mario's Pizza ,1000,Greentree Road,Pittsburgh,PA,15220,Elliot,211,Restaurant without Liquor,0,1/6/2016,1/6/2016,,0,,,1,1,-80.04553008,40.41764855,1000 Greentree Road PA 15220
9358,35536,Portofino Pizzaria,28,W Steuben St,Pittsburgh,PA,15205,Fairywood,212,Chain Restaurant without Liquor,1,6/17/1984,6/17/1984,,18,,,1,1,-80.06822778,40.43825818,28 W Steuben St PA 15205
392,2.00E+11,Pizza Parma,217,Highland Avenue,Pittsburgh,PA,15206,Friendship,212,Chain Restaurant without Liquor,1,2/26/1999,2/26/1999,,0,,,1,1,-79.92480222,40.45839847,217 Highland Avenue PA 15206
19435,2.01E+11,Fazio's Pizza,4028,Penn Avenue,Pittsburgh,PA,15224,Garfield,211,Restaurant without Liquor,1,5/26/2010,5/26/2010,,10,,,1,1,-79.95682779,40.46522008,4028 Penn Avenue PA 15224
21513,2.02E+11,Combo Mini Mart & Pizza,1235,Muldowney Avenue,Pittsburgh,PA,15207,Hazelwood,113,Retail/Convenience Store,1,2/5/2018,2/5/2018,,,,2200,1,1,-79.91404032,40.3689306,1235 Muldowney Avenue PA 15207
22819,2.02E+11,Capezzuto's Pizza,422,Greenfield Avenue,Pittsburgh,PA,15207,Hazelwood,211,Restaurant without Liquor,1,4/9/2019,4/9/2019,,0,,,1,1,-79.94288656,40.42526238,422 Greenfield Avenue PA 15207
34484,2.02E+11,Benvenuti's Pizza Factory Commissary,100,Hafner Street,Pittsburgh,PA,15223,Highland Park,120,Commissary,1,7/29/2022,7/29/2022,,0,,,1,1,-79.94053996,40.49397607,100 Hafner Street PA 15223
34485,2.02E+11,Benvenuti's Pizza Factory (ZLL-9016) MFF4,100,Hafner Street,Pittsburgh,PA,15223,Highland Park,123,Mobile - Tier II ( Prepared Foods),1,7/29/2022,7/29/2022,,,,1,1,1,-79.93974,40.49422187,100 Hafner Street PA 15223
35352,2.02E+11,Domino's Pizza #3289,890,Butler Street,Pittsburgh,PA,15223,Highland Park,212,Chain Restaurant without Liquor,1,9/29/2022,9/29/2022,,0,,,1,1,-79.94643052,40.51109197,890 Butler Street PA 15223
6709,39797,Frank's Pizza,641,North Avenue,Pittsburgh,PA,15209,Homewood West,201,Restaurant with Liquor,1,8/12/1985,8/12/1985,,0,,,1,1,-79.97347949,40.48673628,641 North Avenue PA 15209
20809,2.02E+11,Domino's Pizza,119,Sheridan Avenue,Pittsburgh,PA,15206,Larimer,212,Chain Restaurant without Liquor,1,4/3/2018,4/3/2018,,0,,,1,1,-79.92340606,40.46174634,119 Sheridan Avenue PA 15206
39767,2.02E+11,Ventoâ€™s Pizza,420,Highland Avenue,Pittsburgh,PA,15206,Larimer,211,Restaurant without Liquor,1,10/31/2023,10/31/2023,,52,,,1,1,-79.92330663,40.46435618,420 Highland Avenue PA 15206
11758,2.00E+11,Italian Village Pizza,5037,2nd Avenue,Pittsburgh,PA,15207,Lincoln Place,212,Chain Restaurant without Liquor,1,4/1/2003,4/1/2003,,0,,,1,1,-79.94313812,40.40734474,5037 2nd Avenue PA 15207
