_id,pin,address,billing_city,current_delq,prior_years,state_description,neighborhood,council_district,ward,public_works_division,pli_division,police_zone,fire_zone,longitude,latitude
134740,0012F00260000000,2135 WHARTON ST,"PITTSBURGH, PA",495.56,0,Residential,,,,,,,,,
134741,0028K00048000B00,334 COLTART AVE,"PITTSBURGH, PA",2033.71,0,Residential,,,,,,,,,
134742,0049J00089040600,3725 BUTLER ST UNIT 406,"NEWARK, NJ",2899.87,0,Residential,,,,,,,,,
134743,0003L00432000000,BRADISH ST,"PITTSBURGH, PA",152.48,0,Residential,,,,,,,,,
134744,0004F00279000000,MAPLE TER,"PITTSBURGH, PA",32.41,0,Commercial,,,,,,,,,
134745,0020M00056000000,MARLOW ST,"PITTSBURGH, PA",76.24,0,Residential,,,,,,,,,
134746,0003M00427000000,FREYBURG ST,"PITTSBURGH, PA",152.48,0,Residential,,,,,,,,,
134747,0012F00261000000,2137 WHARTON ST,"PITTSBURGH, PA",428.86,0,Residential,,,,,,,,,
134748,0003M00426000000,BRADISH ST,"PITTSBURGH, PA",152.48,0,Residential,,,,,,,,,
134749,0049B00225000000,176 41ST ST,"PITTSBURGH, PA",1214.13,0,Residential,,,,,,,,,
134750,0012F00259000000,2133 WHARTON ST,"PITTSBURGH, PA",495.56,0,Residential,,,,,,,,,
134751,0028N00080000L00,3109 HAMLET ST,"PITTSBURGH, PA",529.87,0,Residential,,,,,,,,,
134752,0012F00250000000,2132 MERRIMAN WAY,"PITTSBURGH, PA",495.56,0,Residential,,,,,,,,,
134753,0012F00249000000,2130 MERRIMAN WAY,"PITTSBURGH, PA",495.56,0,Residential,,,,,,,,,
134754,0003M00425000000,FREYBURG ST,"PITTSBURGH, PA",152.48,0,Residential,,,,,,,,,
134755,0003L00436000000,S 11TH ST,"PITTSBURGH, PA",152.48,0,Residential,,,,,,,,,
134756,0011K00281000000,2016 WATSON ST,"IRVING, TX",162.02,0,Residential,,,,,,,,,
134757,0020M00060000000,MARLOW ST,"PITTSBURGH, PA",59.1,0,Residential,,,,,,,,,
134758,0028N00080000B00,3109 HAMLET ST,"PITTSBURGH, PA",545.12,0,Residential,,,,,,,,,
134759,0004F00277000000,MAPLE TER,"PITTSBURGH, PA",32.41,0,Commercial,,,,,,,,,
134760,0003M00428000000,BRADISH ST,"PITTSBURGH, PA",152.48,0,Residential,,,,,,,,,
134761,0049B00301000000,256 44TH ST,"PITTSBURGH, PA",520.35,0,Residential,,,,,,,,,
134762,0025M00346000000,3011 PAULOWNA ST,"PITTSBURGH, PA",66.72,0,Residential,,,,,,,,,
134763,0012F00252000000,2136 MERRIMAN WAY,"PITTSBURGH, PA",428.86,0,Residential,,,,,,,,,
134764,0019G00065000000,HERSCHEL ST,"ALLISON PARK, PA",28.6,0,Residential,,,,,,,,,
134765,0012F00258000000,2131 WHARTON ST,"PITTSBURGH, PA",495.56,0,Residential,,,,,,,,,
134766,0083S00292000000,AUBURN ST,"CARNEGIE, PA",70.53,0,Residential,,,,,,,,,
134767,0003L00430000000,BRADISH ST,"PITTSBURGH, PA",152.48,0,Residential,,,,,,,,,
134768,0049B00300000000,254 44TH ST,"PITTSBURGH, PA",522.24,0,Residential,,,,,,,,,
134769,0003L00434000000,BRADISH ST,"PITTSBURGH, PA",152.48,0,Residential,,,,,,,,,
134770,0012F00251000000,2134 MERRIMAN WAY,"PITTSBURGH, PA",495.56,0,Residential,,,,,,,,,
134771,0049J00089020900,3725 BUTLER ST UNIT 209,"PITTSBURGH, PA",6815.86,0,Residential,,,,,,,,,
134772,0014L00246000000,112 AMANDA AVE,"PITTSBURGH, PA",272.65,0,Residential,,,,,,,,,
134773,0003L00438000000,S 11TH ST,"PITTSBURGH, PA",152.48,0,Residential,,,,,,,,,
134774,0020M00058000000,MARLOW ST,"PITTSBURGH, PA",59.1,0,Residential,,,,,,,,,
134775,0004F00275000000,MAPLE TER,"PITTSBURGH, PA",707.14,0,Commercial,,,,,,,,,
134776,0020M00062000000,MARLOW ST,"PITTSBURGH, PA",83.86,0,Residential,,,,,,,,,
134777,0135M00047000000,701 BALDWIN RD,"PITTSBURGH, PA",58.74,0,Residential,Hays,5,31,4,31,4,4-20,-79.93535112728554,40.37966723346148
134778,0091J00015000000,353 BALDWIN RD,"LONG ISLAND CI, NY",1667.76,0,Residential,Hays,5,31,4,31,4,4-20,-79.93232105578792,40.38834826914499
134779,0135D00035000000,558 CALERA ST,"PITTSBURGH, PA",665.2,0,Residential,Hays,5,31,4,31,4,4-20,-79.9329784455614,40.38414501476216
134780,0134A00113000000,642 MIFFLIN RD,"PITTSBURGH, PA",143.74,0,Residential,Hays,5,31,4,31,4,4-20,-79.92926319625148,40.38229949404228
134781,0091J00018000000,355 BALDWIN RD,"HOMESTEAD, PA",762.42,0,Residential,Hays,5,31,4,31,4,4-20,-79.93226623426749,40.38809884223471
134782,0092M00114000000,316 BALDWIN RD,"MADISON, WI",417.42,0,Commercial,Hays,5,31,4,31,4,4-20,-79.9329845704091,40.38923835186077
134783,0135H00090000000,CALERA ST,"PITTSBURGH, PA",81.97,0,Residential,Hays,5,31,4,31,4,4-20,-79.93500538137515,40.38012658922517
134784,0092M00113000000,312 BALDWIN RD,"MADISON, WI",402.18,0,Commercial,Hays,5,31,4,31,4,4-20,-79.93298862882469,40.389327683306114
134785,0134A00140000000,20 HILLBURN ST,"PITTSBURGH, PA",1017.8,0,Residential,Hays,5,31,4,31,4,4-20,-79.93146961765947,40.38301867640249
134786,0135M00053000000,690 GANGES WAY,"PITTSBURGH, PA",330.26,0,Residential,Hays,5,31,4,31,4,4-20,-79.93486128551137,40.379773616145954
134787,0135H00131000000,620 CALERA ST,"PITTSBURGH, PA",1128.37,0,Residential,Hays,5,31,4,31,4,4-20,-79.93355441981335,40.38207266484158
134788,0092S00032000000,444 BALDWIN RD,"PITTSBURGH, PA",116.28,0,Residential,Hays,5,31,4,31,4,4-20,-79.93298990166736,40.386513777414564
134789,0135H00128000000,626 CALERA ST,"PITTSBURGH, PA",895.84,0,Residential,Hays,5,31,4,31,4,4-20,-79.93366057648224,40.38188115862697
134790,0091E00022000000,295 BALDWIN RD,"PITTSBURGH, PA",1025.43,0,Residential,Hays,5,31,4,31,4,4-20,-79.9325893038441,40.38989937233582
134791,0011J00268000000,1840 LOCUST ST,"PITTSBURGH, PA",421.23,0,Residential,Bluff,6,1,3,1,2,2-1,-79.98002274885326,40.43636537960306
134792,0011J00232000000,GIST ST,"PITTSBURGH, PA",343.08,0,Commercial,Bluff,6,1,3,1,2,2-1,-79.97930569924561,40.436896818507776
134793,0011K00065000000,2123 FORBES AVE,"PITTSBURGH, PA",55.28,0,Residential,Bluff,6,4,3,4,2,2-1,-79.9750217267666,40.437462937536864
134794,0002F00320000000,820 5TH AVE,"MIAMI, FL",4574.42,0,Commercial,Bluff,6,1,3,1,2,2-4,-79.9919417982216,40.4386076530068
134795,0011K00207000000,2132 FORBES AVE,"PITTSBURGH, PA",1995.59,0,Commercial,Bluff,6,4,3,4,2,2-1,-79.97469260283941,40.436961462362476
134796,0011K00067000000,2219 FORBES AVE,"MONSEY, NY",1076.26,0,Commercial,Bluff,6,4,3,4,2,2-1,-79.97512895841808,40.437465878341
134797,0011K00156000000,TUSTIN ST,"PITTSBURGH, PA",30.5,0,Residential,Bluff,6,1,3,1,2,2-1,-79.97667766308273,40.43694847817076
134798,0011K00246000000,SENECA ST,"PITTSBURGH, PA",26.68,0,Residential,Bluff,6,1,3,1,2,2-1,-79.97644960856853,40.436672940806716
134799,0011J00177000000,45 MILTENBERGER ST,"CARNEGIE, PA",22.54,0,Residential,Bluff,6,1,3,1,2,2-1,-79.98169743112446,40.4367359708545
134800,0011J00165000B00,49 VAN BRAAM ST,"PITTSBURGH, PA",29.96,0,Residential,Bluff,6,1,3,1,2,2-1,-79.9825189068698,40.43696709606178
134801,0011J00230000000,303 GIST ST,"PITTSBURGH, PA",1302.32,0,Industrial,Bluff,6,1,3,1,2,2-1,-79.97930317546631,40.43681686095473
134802,0011K00171000000,212 SENECA ST,"ALIQUIPPA, PA",703.32,0,Residential,Bluff,6,1,3,1,2,2-1,-79.97619893630866,40.43692253710756
134803,0011K00276000000,304 JUMONVILLE ST,"PITTSBURGH, PA",42076.86,0,Commercial,Bluff,6,1,3,1,2,2-1,-79.97841656327799,40.436579827207375
134804,0002H00022000000,1450 5TH AVE,"MARS, PA",3886.97,0,Commercial,Bluff,6,1,3,1,2,2-4,-79.98527048223907,40.43833291310336
134805,0011K00161000000,2033 TUSTIN ST,"PITTSBURGH, PA",362.16,0,Residential,Bluff,6,1,3,1,2,2-1,-79.97645311921595,40.436945911598855
134806,0011K00162000A00,TUSTIN ST,"PITTSBURGH, PA",24.79,0,Residential,Bluff,6,1,3,1,2,2-1,-79.97634468436961,40.43694311609384
134807,0002G00051000000,1334 5TH AVE,"PITTSBURGH, PA",5083.31,0,Commercial,Bluff,6,1,3,1,2,2-4,-79.98698228889636,40.43837775909048
134808,0002P00120000000,700 2ND AVE,"PITTSBURGH, PA",2735.12,0,Other,Bluff,6,1,3,1,2,2-4,-79.99439872066897,40.43526245236098
134809,0002G00030000000,1208 5TH AVE,"PITTSBURGH, PA",3099.15,0,Commercial,Bluff,6,1,3,1,2,2-4,-79.98856410487873,40.43850911008854
134810,0043R00140000000,SAGAMORE ST,"PITTSBURGH, PA",22.87,0,Residential,Esplen,2,20,5,20,6,1-27,-80.05391456889123,40.46359044253732
134811,0042D00192000000,119 SAGINAW ST,"PITTSBURGH, PA",340.45,0,Residential,Esplen,2,20,5,20,6,1-27,-80.04992656467087,40.46042124821716
134812,0042D00213000000,115 FRUSTUM ST,"PITTSBURGH, PA",326.47,0,Residential,Esplen,2,20,5,20,6,1-27,-80.05061610412592,40.460877491371235
134813,0043R00141000000,212 SAGAMORE ST,"PITTSBURGH, PA",181,0,Residential,Esplen,2,20,5,20,6,1-27,-80.05383388450824,40.46361892433105
134814,0042D00216000000,111 FRUSTUM ST,"PITTSBURGH, PA",32.41,0,Residential,Esplen,2,20,5,20,6,1-27,-80.05045959429779,40.46103387538614
134815,0042C00172000000,TABOR ST,"PITTSBURGH, PA",191.24,0,Residential,Esplen,2,20,5,20,6,1-27,-80.0550107959594,40.461440243326955
134816,0043R00186000000,OREGON ST,"PITTSBURGH, PA",57.18,0,Residential,Esplen,2,20,5,20,6,1-27,-80.05469423606064,40.463040244457474
134817,0042D00048000000,304 SLOAN ST,"PITTSBURGH, PA",869.14,0,Residential,Esplen,2,20,5,20,6,1-27,-80.05246008585898,40.462268413762956
134818,0042D00014000000,315 OREGON ST,"PITTSBURGH, PA",478.42,0,Residential,Esplen,2,20,5,20,6,1-27,-80.05324601942644,40.46162364669913
134819,0043R00205000000,217 CALEDONIA WAY,"PITTSBURGH, PA",285.9,0,Residential,Esplen,2,20,5,20,6,1-27,-80.05482136051877,40.462529027069586
134820,0043S00084000000,3405 W CARSON ST,"CANONSBURG, PA",2496.86,0,Commercial,Esplen,2,20,5,20,6,1-27,-80.05313689941997,40.4639729650432
134821,0042D00064000000,TABOR ST,"PITTSBURGH, PA",153.12,0,Residential,Esplen,2,20,5,20,6,1-27,-80.05241846873592,40.462395765514835
134822,0042D00007000001,TABOR ST,"PITTSBURGH, PA",174.73,0,Residential,Esplen,2,20,5,20,6,1-27,-80.05338022388656,40.46203174869097
134823,0043R00135000000,224 SAGAMORE ST,"PITTSBURGH, PA",332.18,0,Residential,Esplen,2,20,5,20,6,1-27,-80.0543254521076,40.463451734882064
134824,0042C00129000000,225 RADCLIFFE ST,"FREDERICKSBURG, VA",362.14,0,Residential,Esplen,2,20,5,20,6,1-27,-80.05478095607755,40.46224332794622
134825,0021R00033000000,2409 W CARSON ST,"PITTSBURGH, PA",476.5,0,Commercial,Esplen,2,20,5,20,6,1-27,-80.04008445482941,40.45320431038307
134826,0021E00074000000,2801 W CARSON ST,"HENDERSON, NV",966.35,0,Residential,Esplen,2,20,5,20,6,1-27,-80.04589865648848,40.458289265955905
134827,0042C00141000000,313 TABOR ST,"PITTSBURGH, PA",1040.68,0,Residential,Esplen,2,20,5,20,6,1-27,-80.05431399884553,40.46167540855554
134828,0043R00225000000,210 RADCLIFFE ST,"PITTSBURGH, PA",991.14,0,Residential,Esplen,2,20,5,20,6,1-27,-80.05553136276643,40.46253130827074
134829,0033N00023000000,413 CONNISTON AVE,"PITTSBURGH, PA",545.65,0,Residential,Bon Air,4,18,4,18,3,4-7,-79.99896590003297,40.4052878264636
134830,0033E00127000000,210 CAMFIELD ST,"PITTSBURGH, PA",494.18,0,Residential,Bon Air,4,18,4,18,3,4-7,-79.99862012380785,40.40901560884037
134831,0033J00033000000,213 CONNISTON AVE,"PITTSBURGH, PA",1400.92,0,Residential,Bon Air,4,18,4,18,3,4-7,-79.99910560707413,40.40855915207379
134832,0033N00061000000,408 CAMFIELD ST,"PITTSBURGH, PA",1142.23,0,Residential,Bon Air,4,18,4,18,3,4-7,-79.99847044805072,40.405423355204924
134833,0060A00292000000,DANE ST,"JEANNETTE, PA",787.19,0,Residential,Bon Air,4,18,4,18,3,4-7,-79.99772078089264,40.4021533350927
134834,0033N00166000000,427 DRYCOVE ST,"PITTSBURGH, PA",549.46,0,Residential,Bon Air,4,18,4,18,3,4-7,-79.99689938540554,40.40500124589751
134835,0033N00069000000,426 CAMFIELD ST,"PITTSBURGH, PA",1381.86,0,Residential,Bon Air,4,18,4,18,3,4-7,-79.99845205879413,40.404888362323376
134836,0033J00011000000,315 CONNISTON AVE,"PITTSBURGH, PA",508.27,0,Residential,Bon Air,4,18,4,18,3,4-7,-79.99904853463033,40.40721347494044
134837,0033E00114000000,205 CONNISTON AVE,"PITTSBURGH, PA",23.45,0,Residential,Bon Air,4,18,4,18,3,4-7,-79.99912618744878,40.40899305821992
134838,0033E00019000000,4 CAMFIELD ST,"PITTSBURGH, PA",1052.11,0,Residential,Bon Air,4,18,4,18,3,4-7,-79.99732202921871,40.411033245394584
134839,0033N00090000000,441 CAMFIELD ST,"PITTSBURGH, PA",709.56,0,Residential,Bon Air,4,18,4,18,3,4-7,-79.99785749547566,40.404522829441774
134840,0033E00110000000,201 CONNISTON AVE,"PITTSBURGH, PA",989.23,0,Residential,Bon Air,4,18,4,18,3,4-7,-79.99913735301439,40.40923217994417
134841,0033J00161000000,123 SCHUCHERT ST,"PITTSBURGH, PA",446.02,0,Residential,Bon Air,4,18,4,18,3,4-7,-79.99714456607893,40.408180959281495
134842,0034H00208000000,339 CAPERTON ST,"ROCHESTER, NY",1147.42,0,Residential,Bon Air,4,18,4,18,3,4-7,-80.00060446601131,40.40998893270842
134843,0034M00102000000,238 INSTITUTE ST,"PITTSBURGH, PA",252.49,0,Residential,Bon Air,4,18,4,18,3,4-7,-80.00190015900233,40.40823883244403
134844,0033E00204000000,3 CAMFIELD ST,"PITTSBURGH, PA",1748.35,0,Residential,Bon Air,4,18,4,18,3,4-7,-79.99702931803031,40.41079720202415
134845,0034H00252000000,319 CAPERTON ST,"PITTSBURGH, PA",520.86,0,Residential,Bon Air,4,18,4,18,3,4-7,-80.00196257415858,40.40965692675035
134846,0095L00297000000,404 ARISTON AVE,"PITTSBURGH, PA",1010.2,0,Residential,Carrick,4,29,4,29,3,4-23,-79.99003933878431,40.38744687026466
134847,0060M00105000000,1718 LEOLYN ST,"PITTSBURGH, PA",667.1,0,Residential,Carrick,4,29,4,29,3,4-12,-79.98607919821421,40.39826969799646
134848,0094P00189000000,2761 CHURCHVIEW AVE,"PITTSBURGH, PA",743.87,0,Residential,Carrick,4,29,4,29,3,4-15,-79.97451120723339,40.38513046142182
134849,0061D00277000000,1203 EDGEBROOK AVE,"JEANNETTE, PA",9585.29,0,Commercial,Carrick,4,18,4,18,3,4-25,-79.99993208995934,40.40190110057736
134850,0033S00251000000,10 LACONA ST,"PITTSBURGH, PA",853.89,0,Residential,Carrick,4,29,4,29,3,4-12,-79.98467521730461,40.404584042210374
134851,0060H00201000000,204 E MEYERS ST,"WEST PALM BEAC, FL",665.74,0,Residential,Carrick,4,29,4,29,3,4-12,-79.985685880537,40.40021177006298
134852,0094K00188000000,236 KIRK AVE,"PITTSBURGH, PA",733.82,0,Residential,Carrick,4,29,4,29,3,4-15,-79.97662853648015,40.38925943788495
134853,0095L00240000000,2257 SPOKANE AVE,"PITTSBURGH, PA",694.32,0,Residential,Carrick,4,29,4,29,3,4-23,-79.98955864206829,40.389002520039774
134854,0094N00129000000,2420 BROWNSVILLE RD,"PITTSBURGH, PA",1177.91,0,Commercial,Carrick,4,29,4,29,3,4-23,-79.9820690811913,40.386622766733886
134855,0137A00025000000,102 MAYTIDE ST,"PITTSBURGH, PA",804.86,0,Residential,Carrick,4,29,4,29,3,4-23,-79.98065387515226,40.38461386582987
134856,0095M00232000000,2260 DELLROSE ST,"PITTSBURGH, PA",1286.56,0,Residential,Carrick,4,29,4,29,3,4-23,-79.9866010745771,40.38919361159131
134857,0061M00013000000,1651 SAW MILL RUN BLVD,"PITTSBURGH, PA",1385.02,0,Commercial,Carrick,4,32,4,32,3,4-25,-79.99993330796944,40.39923638049533
134858,0060S00415000000,141 SCOUT AVE,"PITTSBURGH, PA",22.38,0,Residential,Carrick,4,29,4,29,3,4-12,-79.98332720104895,40.39443551699811
134859,0060C00223000000,113 BIRMINGHAM AVE,"HUMMELSTOWN, PA",1562.92,0,Residential,Carrick,4,29,4,29,3,4-12,-79.9878453680171,40.40257771522284
134860,0060D00215000000,307 BIRMINGHAM AVE,"BETHEL PARK, PA",476.5,0,Residential,Carrick,4,29,4,29,3,4-12,-79.98403064974498,40.40327448779233
134861,0060D00319000000,1503 TRANSVERSE AVE,"PITTSBURGH, PA",1149.33,0,Residential,Carrick,4,29,4,29,3,4-12,-79.98321923595287,40.401716391791474
134862,0060H00258000000,221 ALRIES ST,"PITTSBURGH, PA",552.74,0,Residential,Carrick,4,29,4,29,3,4-12,-79.98479612339865,40.40004301059798
134863,0137E00086000000,142 NEWBURN AVE,"PITTSBURGH, PA",1000.66,0,Residential,Carrick,4,29,4,29,3,4-23,-79.9811369522717,40.38164718478331
134864,0060L00243000000,1810 BROWNSVILLE RD,"LODI, CA",1397.11,0,Commercial,Carrick,4,29,4,29,3,4-12,-79.98811222580707,40.396851133807054
134865,0095C00128000000,2006 MOUNT JOSEPH ST,"PITTSBURGH, PA",749.87,0,Residential,Carrick,4,29,4,29,3,4-23,-79.98924439606627,40.39392215259251
134866,0095C00090000000,2006 PLATEAU ST,"PITTSBURGH, PA",675.26,0,Residential,Carrick,4,29,4,29,3,4-23,-79.99042788111899,40.39374915478701
134867,0060L00197000000,9 THIELMAN AVE,"BETHEL PARK, PA",709.03,0,Residential,Carrick,4,29,4,29,3,4-23,-79.98943452993588,40.39897981583314
134868,0060R00267000000,1807 WESTMONT AVE,"PITTSBURGH, PA",136.05,0,Residential,Carrick,4,29,4,29,3,4-23,-79.98867569928483,40.396809267920716
134869,0060C00009000000,1146 BROWNSVILLE RD,"PITTSBURGH, PA",807.52,0,Commercial,Carrick,4,29,4,29,3,4-7,-79.99059601487394,40.40400442901464
134870,0060M00107000000,LEOLYN ST,"PITTSBURGH, PA",80.05,0,Residential,Carrick,4,29,4,29,3,4-12,-79.98614475899853,40.39839602520525
134871,0060D00269000000,232 BIRMINGHAM AVE,"PITTSBURGH, PA",615.03,0,Residential,Carrick,4,29,4,29,3,4-12,-79.98480874494284,40.40241190063969
134872,0060L00098000000,115 W CHERRYHILL ST,"PITTSBURGH, PA",658.09,0,Residential,Carrick,4,29,4,29,3,4-23,-79.99033834479194,40.39756471673804
134873,0095B00229000000,LYBRIG WAY,"CLINTON, PA",19.06,0,Residential,Carrick,4,29,4,29,3,4-23,-79.99317219841149,40.39398159997748
134874,0095P00266000000,446 OVERBROOK BLVD,"MURRAY, UT",1902.21,0,Residential,Carrick,4,32,4,32,3,4-23,-79.99190304678149,40.38627588725116
134875,0060B00095000000,MINOOKA ST,"PITTSBURGH, PA",45.12,0,Residential,Carrick,4,29,4,29,3,4-7,-79.99208703514124,40.40349092186271
134876,0059A00159000000,339 PARALLEL AVE,"PITTSBURGH, PA",343,0,Residential,Carrick,4,29,4,29,3,4-12,-79.98203696355374,40.403034720788675
134877,0033K00254000000,915 BROWNSVILLE RD,"PITTSBURGH, PA",1328.49,0,Residential,Carrick,4,29,4,29,3,4-12,-79.99123911270567,40.40693474511264
134878,0060D00063000000,203 LINNVIEW AVE,"PITTSBURGH, PA",1090.23,0,Residential,Carrick,4,29,4,29,3,4-12,-79.9863726638457,40.40368658759024
134879,0059A00213000000,518 PARALLEL AVE,"SOUTHFIELD, MI",214,0,Residential,Carrick,4,29,4,29,3,4-12,-79.97879101005847,40.40367255734923
134880,0094E00185000000,2403 EILER AVE,"PITTSBURGH, PA",233.93,0,Residential,Carrick,4,29,4,29,3,4-15,-79.9812550329246,40.390398078489575
134881,0060M00106000000,1716 LEOLYN ST,"PITTSBURGH, PA",1038.78,0,Residential,Carrick,4,29,4,29,3,4-12,-79.98611150564454,40.398332903270784
134882,0060H00229000000,300 E MEYERS ST,"PITTSBURGH, PA",1134.08,0,Residential,Carrick,4,29,4,29,3,4-12,-79.98302489419962,40.40076328827988
134883,0033S00229000000,11 LACONA ST,"BETHEL PARK, PA",1109.29,0,Residential,Carrick,4,29,4,29,3,4-12,-79.98485973706875,40.40494821419575
134884,0060R00055000000,210 COPPERFIELD AVE,"PITTSBURGH, PA",1313.23,0,Commercial,Carrick,4,29,4,29,3,4-23,-79.99037782231238,40.39543559975207
134885,0094N00245000000,130 MAYTIDE ST,"PITTSBURGH, PA",371.68,0,Commercial,Carrick,4,29,4,29,3,4-23,-79.98259525535975,40.38489056424112
134886,0095S00003000000,2386 BROWNSVILLE RD,"PITTSBURGH, PA",1744,0,Commercial,Carrick,4,29,4,29,3,4-23,-79.9838550953193,40.387092818851706
134887,0060B00153000000,129 MINOOKA ST,"PITTSBURGH, PA",792.9,0,Residential,Carrick,4,29,4,29,3,4-7,-79.9934659707024,40.403133439885444
134888,0032N00166000000,429 LINNVIEW AVE,"ERIE, PA",1082.61,0,Residential,Carrick,4,29,4,29,3,4-12,-79.98126416150566,40.405616415159365
134889,0094G00010000000,262 CEDARCOVE ST,"PITTSBURGH, PA",1177.93,0,Residential,Carrick,4,29,4,29,3,4-15,-79.97408822370679,40.39029415994721
134890,0094B00039000000,554 BRINWOOD AVE,"PITTSBURGH, PA",648.64,0,Residential,Carrick,4,29,4,29,3,4-15,-79.9772237427674,40.394238793017564
134891,0060B00181000000,218 NOBLES LN,"CASPER, WY",764.32,0,Residential,Carrick,4,29,4,29,3,4-23,-79.99475555351377,40.402669636828115
134892,0060P00113000000,367 PARKFIELD ST,"IRVING, TX",538.02,0,Residential,Carrick,4,29,4,29,3,4-23,-79.99445281956385,40.39559116490588
134893,0060B00226000000,30 NOBLES LN,"PITTSBURGH, PA",840.56,0,Residential,Carrick,4,29,4,29,3,4-7,-79.99140176980364,40.403415739944364
134894,0060S00331000000,129 HORNADAY RD,"PITTSBURGH, PA",847.87,0,Residential,Carrick,4,29,4,29,3,4-12,-79.98465978691705,40.39510496930308
134895,0060G00244000000,111 E MEYERS ST,"PITTSBURGH, PA",1435.23,0,Residential,Carrick,4,29,4,29,3,4-12,-79.98720752591127,40.400466903364396
134896,0060R00293000000,1925 WESTMONT AVE,"PITTSBURGH, PA",1282.75,0,Residential,Carrick,4,29,4,29,3,4-23,-79.98767216769667,40.39507558863126
134897,0095M00038000000,2371 BROWNSVILLE RD,"PITTSBURGH, PA",613.76,0,Residential,Carrick,4,29,4,29,3,4-15,-79.98346641117116,40.38744932354206
134898,0095B00094000000,1947 WALTON AVE,"PITTSBURGH, PA",834.85,0,Residential,Carrick,4,29,4,29,3,4-23,-79.99427628212074,40.39355620386967
134899,0137A00154000000,38 MERRITT AVE,"PITTSBURGH, PA",1399.01,0,Commercial,Carrick,4,29,4,29,3,4-23,-79.97939240806666,40.38383473973944
134900,0060L00169000000,1624 DELLROSE ST,"PITTSBURGH, PA",552.76,0,Residential,Carrick,4,29,4,29,3,4-23,-79.98987398510552,40.39912343913517
134901,0094E00174000000,2415 GLENROY ST,"PITTSBURGH, PA",1435.74,0,Residential,Carrick,4,29,4,29,3,4-15,-79.98040576986762,40.389876211563816
134902,0094B00089000000,503 KIRK AVE,"PITTSBURGH, PA",484.65,0,Residential,Carrick,4,29,4,29,3,4-15,-79.977550165882,40.392959757657756
134903,0095R00038000000,352 OVERBROOK BLVD,"PITTSBURGH, PA",991.12,0,Residential,Carrick,4,29,4,29,3,4-23,-79.98958610029868,40.386780682040325
134904,0060A00272000000,234 NOBLES LN,"PITTSBURGH, PA",209.05,0,Residential,Carrick,4,29,4,29,3,4-23,-79.99555111519264,40.40246949588728
134905,0095C00114000000,205 W WOODFORD AVE,"PITTSBURGH, PA",921.12,0,Residential,Carrick,4,29,4,29,3,4-23,-79.9893028259164,40.393107168519045
134906,0137A00151000000,36 MERRITT AVE,"PITTSBURGH, PA",943.99,0,Residential,Carrick,4,29,4,29,3,4-23,-79.97921358981378,40.3838460839948
134907,0060S00235000000,202 E AGNEW AVE,"PITTSBURGH, PA",590.86,0,Residential,Carrick,4,29,4,29,3,4-12,-79.98422618578323,40.39563681950697
134908,0094B00209000000,2699 CUSTER AVE,"PITTSBURGH, PA",1116.92,0,Residential,Carrick,4,29,4,29,3,4-15,-79.97640732837957,40.39326505379932
134909,0060P00154000000,1913 FAIRLAND ST,"CANONSBURG, PA",710.95,0,Residential,Carrick,4,29,4,29,3,4-23,-79.99492225308492,40.39478004220231
134910,0095S00013000000,2400 BROWNSVILLE RD,"PITTSBURGH, PA",731.9,0,Commercial,Carrick,4,29,4,29,3,4-23,-79.98298961719154,40.38672435190864
134911,0060L00034000000,1634 OAKHURST ST,"PITTSBURGH, PA",173.56,0,Residential,Carrick,4,29,4,29,3,4-23,-79.9911003277096,40.39855765992813
134912,0137A00288000000,CLAUS AVE,"FLINT, MI",268.76,0,Residential,Carrick,4,29,4,29,3,4-23,-79.98191840833144,40.382692900728806
134913,0094A00288000000,10 HOPELAND ST,"PITTSBURGH, PA",2106.14,0,Residential,Carrick,4,29,4,29,3,4-15,-79.97872117485443,40.39203441186316
134914,0059N00130000000,220 HORNADAY RD,"EMPORIUM, PA",1233.19,0,Residential,Carrick,4,29,4,29,3,4-12,-79.98170668829098,40.39530753118386
134915,0095L00115000000,2254 VALERA AVE,"PITTSBURGH, PA",579.96,0,Residential,Carrick,4,29,4,29,3,4-23,-79.98826893951036,40.38947603685984
134916,0032N00245000000,409 BIRMINGHAM AVE,"IRVING, TX",648.57,0,Residential,Carrick,4,29,4,29,3,4-12,-79.98124899606823,40.4043051698778
134917,0060R00100000000,1812 MOUNT JOSEPH ST,"PITTSBURGH, PA",867.77,0,Residential,Carrick,4,29,4,29,3,4-23,-79.9905593062643,40.396008266160884
134918,0060H00044000000,226 THE BOULEVARD,"PITTSBURGH, PA",1083.14,0,Residential,Carrick,4,29,4,29,3,4-12,-79.984983029928,40.4012585655052
134919,0033S00221000000,25 LACONA ST,"PITTSBURGH, PA",857.7,0,Residential,Carrick,4,29,4,29,3,4-12,-79.98425277440629,40.40517212306943
134920,0095G00217000000,2240 ALMONT ST,"PITTSBURGH, PA",907.27,0,Residential,Carrick,4,29,4,29,3,4-23,-79.98939345772814,40.389660777479094
134921,0137A00006000000,130 MAYTIDE ST,"PITTSBURGH, PA",2247.18,0,Industrial,Carrick,4,29,4,29,3,4-23,-79.98192317852835,40.38459508182989
134922,0060E00193000000,1419 NOBLES LN,"PITTSBURGH, PA",749.07,0,Residential,Carrick,4,29,4,29,3,4-23,-79.99741686264223,40.399494437633145
